,EC,PC,DMC,EMC,DEC,DME,DMSO,AN,MOEMC,TFP,EA,MA,FEC,DOL,2-MeTHF,DMM,Freon 11,Methylene chloride,THF,Toluene,Sulfolane,2-Glyme,3-Glyme,4-Glyme,3-Me-2-Oxazolidinone,3-MeSulfolane,Ethyldiglyme,DMF,Ethylbenzene,Ethylmonoglyme,Benzene,g-Butyrolactone,Cumene,Propyl sulfone,Pseudocumene,TEOS,m-Xylene,o-Xylene
Lipid solubility,1,1,1,3,4,1,2,3,2,5,3,2,1,1,3,1,6,5,1,6,2,1,1,1,2,3,1,1,6,1,6,1,6,4,6,3,6,6
Viscosity,1.92,1.38,0.664,0.45,0.868,85.1,1.1,0.34,1,0.12,0.423,0.364,2.2,0.6,0.47,3.5,0.4,0.43,0.48,0.56,10.3,1,4.1,5.7,1.65,10,3,0.92,0.58,0.46,0.65,1.7,0.79,4.5,0.82,0.65,0.61,0.76
Surface tension,37.3,30,24.6,25.9,26.9,14,43.6,25,30.5,16,23.5,21.8,39,32.7,25.3,33.5,26.3,23.1,28.8,28.8,35.6,25.5,28.3,30.1,41.5,31,26.9,35.5,16,21.3,28.8,35.4,28.4,32.2,28.7,23.4,28.7,28.7
Polarizability,6.8,8.67,7.71,9.55,11.39,5.17,7.99,6.17,9.8,6,8.86,7.02,7.5,6.75,9.81,13.8,8.46,6.49,7.94,12.32,10.83,13.9,18.27,22.63,10.01,12.66,17.58,8.02,3.55,9.54,10.4,8.07,16.03,15.31,16.14,21.72,14.23,14.23
Number of chiral carbons,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Is it a chiral molecule,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Does it have stereocenters,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Does it have a plane of symmetry,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Does it have a center of symmetry,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0
Rigidity/Flexibility,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1
Number of aromatic rings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Number of aromatic bonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,0,6,0,6,0,6,6
