seed,mae,mse,r2,rmse,training_time
64,0.552744304312117,2.73437223001667,0.839582950247466,1.6535937318509255,17.731963396072388
65,0.4956820667824171,1.0235379017982342,0.9322962756028046,1.0117005000484256,19.473300457000732
66,0.48886122501084406,0.7391748112418821,0.9573798704641039,0.8597527616948271,16.21796989440918
67,0.4331194622292032,0.7831245691082542,0.9531148168829429,0.8849432575641527,23.465795516967773
68,0.5193432761933868,0.9019574339116478,0.9456071553586981,0.949714395969466,14.929393291473389
69,0.619104677552563,1.2410923807075112,0.9219497278758578,1.1140432580055009,14.546844959259033
70,0.5381963075831292,1.6800641206964417,0.8974388453112598,1.296172874541217,23.569098472595215
71,0.45926717590177646,0.8354945749987289,0.9528229712695333,0.9140539234633419,20.176679611206055
72,0.40553946980824895,0.5855909701890661,0.967178106067327,0.7652391588183828,29.1545090675354
73,0.4938547676064589,0.96986344278565,0.9424509082420396,0.9848164513175285,16.874385595321655
74,0.703671602353615,26.378875348301438,-0.6702521924137412,5.136036930192524,15.725340604782104
75,0.4933228135819884,1.0579105272648097,0.9408541703296228,1.0285477758785975,19.52608823776245
76,1.2344146678423893,3.691389703575869,0.7989075848614409,1.9212989625708616,11.642287015914917
77,0.4845156584161083,1.1906287625948941,0.927205791421488,1.091159366268234,22.524731874465942
78,0.559797327098887,4.692139327763707,0.7360362020703722,2.166134651346427,16.164901733398438
79,0.5477899940595216,1.218339220228989,0.9272393355463519,1.103784046011261,16.132564544677734
80,0.6250948741705397,11.957687354755688,0.23321650938429395,3.4579889176739256,17.942598342895508
81,0.5176358134894807,2.366745285023439,0.8618196333237967,1.5384229863803514,18.476386070251465
82,0.4738974153246374,1.381747982352776,0.9196859533777382,1.1754777676982138,21.419970989227295
83,0.4649147682259895,1.2133130137494945,0.9265147429590873,1.1015048859399101,16.811431169509888
84,0.4685027028678778,0.8532606809589819,0.9456686982516154,0.9237211056152078,18.504239559173584
85,1.5408503529474644,5.182283328452582,0.6956947220036027,2.2764628985451494,11.28376317024231
86,0.43463673886559934,0.5866290775705659,0.9647927525532145,0.7659171479804887,28.801280736923218
87,0.45596729287382,1.3444006895696097,0.9185131132973976,1.1594829406117235,19.354354858398438
88,0.44994504822107717,0.8961722905522951,0.9427820598148612,0.9466637684797571,28.008479118347168
89,0.6009267553910025,1.0834501179835068,0.9357836377622034,1.0408890997524696,15.681228637695312
90,0.6513209927919053,1.061527840000082,0.9355081763456138,1.0303047316207385,15.551854848861694
91,0.6311583082309802,1.027616447888523,0.9364302565938507,1.0137141845157949,17.60275363922119
92,0.6135682365330191,3.067624226313809,0.8167587541187553,1.751463452748532,17.82939887046814
93,0.6879423418139231,13.464960486018644,0.2209899397158256,3.6694632422220343,17.315954446792603
94,0.7506016787428622,11.6166911825535,0.3193123036780039,3.408326742340514,16.091641902923584
95,1.1111709830823124,9.063747060268762,0.48341327321180194,3.0106057630099565,12.95106029510498
96,0.5078379890063758,1.1555028199658472,0.9276646793676544,1.0749431705750063,16.84015679359436
97,0.43746690757626827,0.6896062297961653,0.9581110564261436,0.8304253306566252,19.748676776885986
98,0.4863931753673816,0.8765645743121545,0.9478760241184516,0.9362502733308837,17.744569301605225
99,0.5172317576480628,0.8409890336365878,0.9473681210594317,0.91705454234554,17.578020095825195
100,0.44806685670418367,0.7848683640641106,0.9546428586223293,0.8859279677626791,28.705486536026
