SMILES,Linear Carbonyl,Cyclic Carbonyl,Linear Ether,Cyclic Ether,tsne_x,tsne_y
CC1(C)CCOC(=O)C1,0,1,0,0,-4.5594378,66.37208
CC1(C)CCOC(=O)O1,0,1,0,0,-1.5141072,64.54713
CC1(C)CCOC1,0,0,0,1,-10.594272,25.407356
CC1(C)CCOC1(C)C,0,0,0,1,1.3280023,36.953506
CC1(C)CCOC1=O,0,1,0,0,-9.926665,63.669018
CC1(C)CCOCC1,0,0,0,1,-10.820909,25.895355
CC1(C)CCOCC1=O,0,1,0,0,-12.196279,58.702423
CC1(C)CCOCO1,0,0,0,1,-2.7134564,32.787895
CC1(C)COC(=O)C1,0,1,0,0,-3.933985,66.877365
CC1(C)COC(=O)CO1,0,1,0,0,-0.8253221,61.847557
CC1(C)COC(=O)O1,0,1,0,0,-1.1393763,64.879
CC1(C)COC(=O)OC1,0,1,0,0,-2.207648,66.10395
CC1(C)COC(C)(C)C1,0,0,0,1,-4.0067425,35.325905
CC1(C)COC(C)(C)O1,0,0,0,1,-3.3695436,36.052074
CC1(C)COCC(=O)C1,0,1,0,0,-3.240303,58.601498
CC1(C)COCC(=O)O1,0,1,0,0,1.0251505,62.0993
CC1(C)COCC1(C)C,0,0,0,1,-9.11179,28.860552
CC1(C)COCC1=O,0,1,0,0,-11.629246,58.335
CC1(C)COCCC1=O,0,1,0,0,-11.230534,58.91073
CC1(C)COCCO1,0,0,0,1,-4.27922,33.60789
CC1(C)COCO1,0,0,0,1,-4.5641084,33.519333
CC1(C)COCOC1,0,0,0,1,-8.632795,28.313236
CC1(C)COCOC1=O,0,1,0,0,-10.28411,62.277092
CC1(C)OCC(=O)CO1,0,1,0,0,0.41076726,57.97581
CC1(C)OCC(=O)O1,0,1,0,0,2.0182347,60.352207
CC1(C)OCCC(=O)O1,0,1,0,0,2.584219,61.00974
CC1(C)OCCC1=O,0,1,0,0,-7.1890717,58.388054
CC1(C)OCCCC1=O,0,1,0,0,-7.4791923,58.187027
CC1(C)OCCCO1,0,0,0,1,1.9371086,38.574757
CC1(C)OCCO1,0,0,0,1,1.7869774,38.511852
CC1(C)OCCOC1=O,0,1,0,0,-7.473996,62.531433
CC1(C)OCOC(=O)O1,0,1,0,0,-2.9347985,63.144035
CC1(C)OCOC1(C)C,0,0,0,1,2.6067271,36.81936
CC1(C)OCOC1=O,0,1,0,0,-6.8121014,62.227314
CC1(C)OCOCC1=O,0,1,0,0,-9.256066,58.723064
CC1(C)OCOCO1,0,0,0,1,3.3696349,36.80251
CC1C(=O)CCC1(C)C,0,1,0,0,-28.575506,54.60275
CC1C(=O)COC1(C)C,0,1,0,0,-29.237585,55.170498
CC1C(=O)OCC1(C)C,0,1,0,0,-28.191101,54.3919
CC1CC(=O)C(C)(C)C1,0,1,0,0,-21.475779,53.33144
CC1CC(=O)C(C)(C)O1,0,1,0,0,-21.788784,52.7871
CC1CC(=O)C(C)C1,0,1,0,0,-41.08612,29.715937
CC1CC(=O)C(C)C1C,0,1,0,0,-40.963123,24.59919
CC1CC(=O)C(C)CO1,0,1,0,0,-55.039505,30.677391
CC1CC(=O)C(C)O1,0,1,0,0,-56.93066,26.857649
CC1CC(=O)CC(C)C1,0,1,0,0,-38.04284,25.222239
CC1CC(=O)CC(C)O1,0,1,0,0,-55.441498,23.652195
CC1CC(=O)CC1(C)C,0,1,0,0,-26.394234,51.239826
CC1CC(=O)CC1C,0,1,0,0,-38.640858,23.72086
CC1CC(=O)CCO1,0,1,0,0,-60.399376,7.416273
CC1CC(=O)CO1,0,1,0,0,-61.56521,8.000117
CC1CC(=O)COC1C,0,1,0,0,-61.595257,8.763173
CC1CC(=O)OC(C)C1,0,1,0,0,-54.905582,20.549337
CC1CC(=O)OC(C)O1,0,1,0,0,-55.09159,22.544254
CC1CC(=O)OC1(C)C,0,1,0,0,-25.37169,50.985886
CC1CC(=O)OC1C,0,1,0,0,-54.550835,14.9390545
CC1CC(=O)OCO1,0,1,0,0,-59.83539,0.63105667
CC1CC(C(C)C)CO1,0,0,0,1,-11.28651,-29.532911
CC1CC(C)(C)C(=O)O1,0,1,0,0,-22.150282,53.5617
