seed,mae,mse,r2,rmse,training_time,performance_score,rank
93,0.2456086414699822,0.35458127119277255,0.9686021048749693,0.5954672713027749,60.88986372947693,0.5134589349158949,41
61,0.24707012217775812,0.35238928124110497,0.9674596316302578,0.5936238550135136,43.99957728385925,0.5134345961151843,42
24,0.24903549491841048,0.3512008671710621,0.9665657958817844,0.5926220272408562,74.8716390132904,0.5125341451085129,43
87,0.2613178100006378,0.3436835811259512,0.9698293141207419,0.5862453250354762,70.84949946403503,0.5105158296813859,44
28,0.24826759696408074,0.35707352401414977,0.9687905283101097,0.5975562935942937,56.25860595703125,0.5101780909375337,45
55,0.24548723516831591,0.36004113330087134,0.9682563420359566,0.6000342767716452,74.35090756416321,0.5099155635354047,46
69,0.2670877306136497,0.34220647613284644,0.9683442652456371,0.5849841674206632,44.90370988845825,0.5070443617780696,47
64,0.2620306509147941,0.34991964698409966,0.9691696291010793,0.5915400637185106,56.686824321746826,0.5057756957785932,48
18,0.24629640359263968,0.3667147459308861,0.9679610708341893,0.6055697696639802,73.83401346206665,0.5050134456968709,49
38,0.25899573831940803,0.3560141861192242,0.9674814838406781,0.5966692434835436,43.222768783569336,0.5032141100848248,50
23,0.25894835639627894,0.35931880116637904,0.9685833977316979,0.5994320655139989,35.42832159996033,0.5015770167095811,51
42,0.24129217850730475,0.3770385508805849,0.9655469355945264,0.6140346495765405,56.633413553237915,0.5008251156226405,52
3,0.2547178543746486,0.36704731569328747,0.9681718426498341,0.605844299876864,93.70658922195435,0.49929978746222703,53
21,0.26180161291536624,0.35996358440161924,0.9682639857346901,0.5999696529005607,50.79334855079651,0.49914530005334895,54
70,0.2520480851240494,0.37330284641068134,0.9666648504347346,0.610985144181658,96.06984400749207,0.49650050398278917,55
62,0.2600802818509437,0.36575521239352304,0.9673214934835017,0.604776993935387,60.43906593322754,0.49622333983802064,56
90,0.2714372590063085,0.3562838819225203,0.9683816500535353,0.5968952017921741,48.854666233062744,0.49514834415924747,57
79,0.25522064460041455,0.37401349542849854,0.9673215013798321,0.6115664276499312,60.82413721084595,0.49420857139069374,58
67,0.2668374922201133,0.3620525200995413,0.9674863699309003,0.6017080023562437,69.72855234146118,0.49416246928716134,59
45,0.26667312253733433,0.36254408003511246,0.9668009513578046,0.6021163343035235,41.20991611480713,0.4936843336115659,60
51,0.2589170080411667,0.37410228703191273,0.9675361725052802,0.611639016930667,59.46281576156616,0.4917861088931305,61
12,0.25527426454165353,0.3830411092448942,0.9664426954137975,0.6189031501332775,57.22512602806091,0.48811900375989076,62
22,0.2625764863345564,0.3786055812146485,0.9673501545153689,0.615309337825007,49.044267416000366,0.48643647570643533,63
30,0.26105106215071666,0.3808347727182318,0.9656355792020815,0.6171181189352909,64.80543661117554,0.4853552950909494,64
77,0.27714547320103283,0.3657853286264449,0.9659455871796135,0.6048018920493263,58.84760069847107,0.4843329937700185,65
98,0.2794539143307295,0.3653170710914035,0.9676707928687422,0.6044146516187405,48.40510177612305,0.48378936373064335,66
85,0.2574638896684656,0.3925599145694196,0.9658441132613934,0.6265460195144644,63.987146615982056,0.48044061750901945,67
71,0.268758428724415,0.3834916756469008,0.9655857031917388,0.6192670471185276,38.74641132354736,0.47854701236738784,68
89,0.26619742218235765,0.38618181113548494,0.9651456190914212,0.6214352831433736,42.99987506866455,0.47837574989986975,69
54,0.2617133612184784,0.39260177706244154,0.967138781010014,0.6265794259808102,59.75967836380005,0.4781131678912141,70
44,0.2598094512583583,0.39486999830633013,0.9644527184087693,0.6283868221934082,64.63997006416321,0.4768792009957533,71
4,0.26613171464513236,0.3887924504810997,0.9648292735503412,0.6235322369221176,75.87222504615784,0.4766507387442402,72
52,0.282895037437836,0.3729309871775769,0.967226662141246,0.6106807571698791,51.496092319488525,0.4764972453682456,73
99,0.2721085691564063,0.3861599136696389,0.9640336826829189,0.6214176644332208,40.950032234191895,0.4740233741122919,74
27,0.2605449814285056,0.39820202876692656,0.9635497591538599,0.6310325100713327,69.42194724082947,0.4739429679582973,75
94,0.25743405336565306,0.40325361952528416,0.9633563503635503,0.6350225346594278,70.59407258033752,0.47277111208252726,76
41,0.2565310500726823,0.4058911122344734,0.9637033850722959,0.6370958422674514,62.726401567459106,0.471862825704464,77
