k,salt,T,c,The number of atoms,The number of carbon atoms,The number of oxygen atoms,The ratio of carbon atoms to oxygen atoms,The number of rings,Molecular weight,Molecular radius,Molecular dipole moment,Average electronegativity,Average ionization energy,Average electron affinity
0.186956522,LiPF6,233.15,1.052941176,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
0.108695652,LiPF6,233.15,1.223529412,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
0.047826087,LiPF6,233.15,1.447058824,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
0.015217391,LiPF6,233.15,1.688235294,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
0.004347826,LiPF6,233.15,1.905882353,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
1.11E-16,LiPF6,233.15,2.123529412,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
1.11E-16,LiPF6,233.15,2.311764706,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
4.615384615,LiPF6,293.15,0.311764706,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
5.179487179,LiPF6,293.15,0.388235294,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
5.564102564,LiPF6,293.15,0.464705882,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
5.846153846,LiPF6,293.15,0.552941176,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
6.025641026,LiPF6,293.15,0.652941176,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
6,LiPF6,293.15,0.770588235,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
5.820512821,LiPF6,293.15,0.9,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
5.358974359,LiPF6,293.15,1.058823529,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
4.717948718,LiPF6,293.15,1.229411765,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
3.769230769,LiPF6,293.15,1.458823529,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
2.871794872,LiPF6,293.15,1.7,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
2.128205128,LiPF6,293.15,1.917647059,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
1.58974359,LiPF6,293.15,2.135294118,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
1.179487179,LiPF6,293.15,2.329411765,13.5,4.1,3,1.364,0.9,103.694,3.270082,4.1069,2.9263,12.2584,-1.3449
0.766037736,LiPF6,233.15,0.282336895,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.898113208,LiPF6,233.15,0.400772903,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.954716981,LiPF6,233.15,0.486815185,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.973584906,LiPF6,233.15,0.577744942,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.969811321,LiPF6,233.15,0.674016822,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.932075472,LiPF6,233.15,0.787338031,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.856603774,LiPF6,233.15,0.917594908,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.735849057,LiPF6,233.15,1.082632416,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.573584906,LiPF6,233.15,1.270516026,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.396226415,LiPF6,233.15,1.488065469,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.249056604,LiPF6,233.15,1.724596499,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.147169811,LiPF6,233.15,1.926346897,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.086792453,LiPF6,233.15,2.129347579,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
0.049056604,LiPF6,233.15,2.314957945,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
3.402027953,LiPF6,293.15,0.258426966,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
4.298711976,LiPF6,293.15,0.376404494,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
4.806796383,LiPF6,293.15,0.460674157,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
5.192655522,LiPF6,293.15,0.550561798,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
5.529460126,LiPF6,293.15,0.646067416,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
5.791997808,LiPF6,293.15,0.764044944,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
5.931762127,LiPF6,293.15,0.898876404,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
5.8994245,LiPF6,293.15,1.061797753,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
5.646478487,LiPF6,293.15,1.247191011,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
5.123321458,LiPF6,293.15,1.471910112,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
4.477117018,LiPF6,293.15,1.719101124,16.5,4.7,3,1.568,0.3,113.318,3.808294,2.7923,2.8981,12.1828,-1.3383
